,Status,Close Date,Close Price,Property_ID,New Construction Type,MLS Number,List Agent Full Name,List Agent MLSID,List Office Name,Property Address
17,Closed,2/17/2021,526889.0,NA,Under Construction,170328185,Gary Emerito,EMERITG,Berkshire Hathaway NE Prop.,33 Carson Way   Simsbury Connecticut 06070
18,Closed,2/17/2021,1100.0,NA,Under Construction,170372965,Jordan Stevens,843011,Keller Williams Realty,152 Tremont 1S  #1S New Britain Connecticut 06051
19,Closed,2/16/2021,474260.0,NA,To Be Built,170220556,Andrea Bannerman,20635,Thomas Jacovino,18 West Cross Trail 129 Danbury Connecticut 06810
20,Closed,2/16/2021,540482.0,NA,Under Construction,170225374,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,13 Fairview Lane 209 Middlebury Connecticut 06762
21,Closed,2/16/2021,519284.0,NA,To Be Built,170283452,Wendy L. O'Donnell,ODONNELW,EG Group Realty,11 Park Avenue  Stonington Connecticut 06355
22,Closed,2/16/2021,642175.79,NA,To Be Built,170307713,Cheryl A Rosadino,ROSADICH,Berkshire Hathaway NE Prop.,Lot 5 Cornwall Avenue  Cheshire Connecticut 06410
23,Closed,2/16/2021,702000.0,NA,Under Construction,170354032,Lawrence Davidoff,L458,Davidoff Realty Co.,604 Newfield Ave House C   Stamford Connecticut 06905
24,Closed,2/15/2021,4300.0,NA,Completed/Never Occupied,170303530,Penne B Weicker,16081,Brown Harris Stevens,16 Cross Street 206 New Canaan Connecticut 06840
25,Closed,2/12/2021,458928.0,NA,Under Construction,170253026,Meredith Colasanto,COLASANM,Thomas Jacovino,130 RIDGEWOOD Drive 180 Middlebury Connecticut 06762
26,Closed,2/12/2021,457500.0,NA,Model,170293338,Ryan Peterson,PETERSOR,Century 21 AllPoints Realty,74 Scenic Drive   Berlin Connecticut 06037
27,Closed,2/12/2021,280000.0,NA,Under Construction,170313252,Doug Blackwood,BLACKWOD,Calcagni Real Estate,44 Lakeside Drive 39 Orange Connecticut 06477
28,Closed,2/12/2021,400000.0,NA,Under Construction,170349276,Jaime Pereira,17822,Re/Max Right Choice,166 Lakeview   Bridgeport Connecticut 06606
29,Closed,2/12/2021,1200000.0,NA,Under Construction,170354078,Gregorio Pansino,JPANS01,Kinard Realty Group,10 ravenglass Drive 9 Stamford Connecticut 06903
30,Closed,2/11/2021,1550.0,NA,Under Construction,170356283,Julie Blakeman,840995,Carey & Guarrera Real Estate,309 Bridgeport Avenue  203 Shelton Connecticut 06484
31,Closed,2/11/2021,1700.0,NA,Under Construction,170361526,Julie Blakeman,840995,Carey & Guarrera Real Estate,309 Bridgeport Avenue 405 Shelton Connecticut 06484
32,Closed,2/9/2021,709900.0,NA,Under Construction,170344560,Paul Jacques,JACQUESP,Jacques Realty,Lot 6 114 Kongscut Valley Trail  Glastonbury Connecticut 06033
33,Closed,2/9/2021,1975.0,NA,Under Construction,170358765,Teresa Truiolo,TRUIOLOT,"Excel Realty, LLC",301 Main Street 1 Bristol Connecticut 06010
34,Closed,2/9/2021,495000.0,NA,Under Construction,170363575,John R Lepore,LEPOREJ,Berkshire Hathaway NE Prop.,2 Anthonys Way  Bloomfield Connecticut 06002
35,Closed,2/8/2021,409911.0,NA,Under Construction,170257168,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,11 FAIRVIEW Lane 208 Middlebury Connecticut 06762
36,Closed,2/8/2021,516614.0,NA,To Be Built,170283537,Wendy L. O'Donnell,ODONNELW,EG Group Realty,12 Park Avenue  Stonington Connecticut 06355
37,Closed,2/8/2021,405405.0,NA,To Be Built,170324627,Nikki Trocchio,trocchion,Calcagni Real Estate,520 Ridgewood Road  Middletown Connecticut 06457
38,Closed,2/8/2021,2900.0,NA,Completed/Never Occupied,170340530,Jennifer Collins,22881,"Compass Connecticut, LLC",1675 Post Road 204 Fairfield Connecticut 06824
39,Closed,2/8/2021,825000.0,NA,Completed/Never Occupied,170363538,Stacey K Didio,5515,Coldwell Banker Realty,21 Beaumont Street  Fairfield Connecticut 06824
40,Closed,2/5/2021,385984.0,NA,To Be Built,170207066,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,27 Highridge Road 155 Middlebury Connecticut 06762
41,Closed,2/5/2021,239000.0,NA,Completed/Never Occupied,170264664,Yasmina Delacruz-Bailey,21391,Century 21 Scala Group,830 Seaview Avenue 3 Bridgeport Connecticut 06607
42,Closed,2/5/2021,335000.0,NA,To Be Built,170291159,J.R. Donorfio,DONORFGE,"Fercodini Properties, Inc.",17 Louise Avenue  Wolcott Connecticut 06716
43,Closed,2/5/2021,434400.0,NA,Under Construction,170301615,Thomas P Coccomo,COCCOMOT,Century 21 AllPoints Realty,65 Jack English   Middletown Connecticut 06085
44,Closed,2/4/2021,622322.0,NA,Under Construction,170248223,Suzanne B DeMarco,21546,Thomas Jacovino,37 South Crossing Way 51 Bethel Connecticut 06801
45,Closed,2/4/2021,407285.0,NA,Under Construction,170346799,Laura Spinelli,SPINELLL,"Laurel Crest Realty, LLC",Lot 1 Great Pyrenees Way  Bristol Connecticut 06010
46,Closed,2/3/2021,279900.0,NA,To Be Built,170179015,Kris Barnett,BARNETTK,Berkshire Hathaway NE Prop.,31 Cambridge Court  Simsbury Connecticut 06070
47,Closed,2/3/2021,1950000.0,NA,Completed/Never Occupied,170261853,Lawrence Davidoff,L458,Davidoff Realty Co.,79 Bayberrie Drive  Stamford Connecticut 06902
48,Closed,2/2/2021,200000.0,NA,To Be Built,170321914,Christine Johnson,EJOHNSONC2,RE/MAX Home Team,123 Ashford Road 8 Eastford Connecticut 06242
49,Closed,2/2/2021,1550.0,NA,Completed/Never Occupied,170361564,Julie Blakeman,840995,Carey & Guarrera Real Estate,309 Bridgeport Avenue 106 Shelton Connecticut 06484
50,Closed,2/1/2021,2950.0,NA,Completed/Never Occupied,170340784,Jennifer Collins,22881,"Compass Connecticut, LLC",1675 Post Road 304 Fairfield Connecticut 06824
51,Closed,2/1/2021,1600.0,NA,Under Construction,170358096,Teresa Truiolo,TRUIOLOT,"Excel Realty, LLC",301 Main Street 3 Bristol Connecticut 06010
52,Closed,2/1/2021,1400.0,NA,Under Construction,170358749,Teresa Truiolo,TRUIOLOT,"Excel Realty, LLC",301 Main Street 2 Bristol Connecticut 06010
53,Closed,1/29/2021,584000.0,NA,To Be Built,170252286,Thomas P Coccomo,COCCOMOT,Century 21 AllPoints Realty,2 Sachem Court   Farmington Connecticut 06032
54,Closed,1/29/2021,429900.0,NA,Under Construction,170280130,Stacy Bucci,BUCCIST,Calcagni Real Estate,103 Bleeker Circle  North Haven Connecticut 06473
55,Closed,1/29/2021,670761.0,NA,Under Construction,170313295,Andrea Bannerman,20635,Thomas Jacovino,96 Winding Ridge Way 89 Danbury Connecticut 06810
56,Closed,1/29/2021,329900.0,NA,Under Construction,170342766,Bill Heenan,EHEENANB,William Raveis Real Estate,12 Heath Spur   Ledyard Connecticut 06333
57,Closed,1/28/2021,514412.0,NA,Under Construction,170227035,Andrea Bannerman,20635,Thomas Jacovino,94 Winding Ridge Way 90 Danbury Connecticut 06810
58,Closed,1/28/2021,406000.0,NA,To Be Built,170274059,Patricia Wheway,WHEWAYP,Coldwell Banker Realty,34 Meacham Drive 34 Enfield Connecticut 06082
59,Closed,1/28/2021,343640.0,NA,To Be Built,170284122,Maryam A Taylor,taylorma,Calcagni Real Estate,609 Mile Lane  Middletown Connecticut 06457
60,Closed,1/28/2021,50000.0,NA,Model,170352011,Johvanny Lopez-Rosado,18623,Apisa RE,10 Ordinance  4 Bridgeport Connecticut 06607
61,Closed,1/27/2021,660000.0,NA,Completed/Never Occupied,170281670,Lawrence Davidoff,L458,Davidoff Realty Co.,604 Newfield Ave House B   Stamford Connecticut 06905
62,Closed,1/27/2021,561380.0,NA,Under Construction,170309246,Justin Decrosta,DECROSTAJ,YellowBrick Real Estate LLC,70 Kinloch Terrace  Milford Connecticut 06460
63,Closed,1/27/2021,1300000.0,NA,Under Construction,170328326,Kim Harizman,18778,"Compass Connecticut, LLC",7 Daybreak Commons  Westport Connecticut 06880
64,Closed,1/27/2021,849000.0,NA,Completed/Never Occupied,170354008,Stacey K Didio,5515,Coldwell Banker Realty,31 Beaumont Street  Fairfield Connecticut 06824
65,Closed,1/26/2021,235000.0,NA,To Be Built,170084771,Janet McKenzie,EMCKENZIJ,William Raveis Real Estate,38 Village Crossing 38 East Lyme Connecticut 06357
66,Closed,1/26/2021,561350.0,NA,Completed/Never Occupied,170273037,Joseph Duva,DUVAJ,T & M Real Estate of CT Inc,35 Glen Place (GPS 102 Orchard St)  17 Glastonbury Connecticut 06033
67,Closed,1/26/2021,499701.0,NA,Under Construction,170289273,Andrea Bannerman,20635,Thomas Jacovino,21 Brentwood Circle 86 Danbury Connecticut 06810
68,Closed,1/26/2021,665000.0,NA,Completed/Never Occupied,170358480,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,126 Long Meadow Drive  South Windsor Connecticut 06074
69,Closed,1/25/2021,468634.0,NA,Under Construction,170293318,Ryan Peterson,PETERSOR,Century 21 AllPoints Realty,241 Scenic Drive  Berlin Connecticut 06037
70,Closed,1/22/2021,367670.0,NA,To Be Built,170089503,Cary A Marcoux,EMARCOUXC,RE/MAX Bell Park Realty,17 Henry Drive  Plainfield Connecticut 06354
71,Closed,1/22/2021,442196.0,NA,To Be Built,170296674,Amy Romano,ROMANOA,Preston Gray Real Estate,Lot#2 Beardsley Street  Shelton Connecticut 06484
72,Closed,1/22/2021,264000.0,NA,To Be Built,170298653,Christine Johnson,EJOHNSONC2,RE/MAX Home Team,17 Logans Way   Sterling Connecticut 06377
73,Closed,1/22/2021,229900.0,NA,Completed/Never Occupied,170318802,Yasmina Delacruz-Bailey,21391,Century 21 Scala Group,820 Seaview Avenue 2 Bridgeport Connecticut 06607
74,Closed,1/21/2021,499000.0,NA,Model,170343178,Patricia Pastor,EPASTORP,William Raveis Real Estate,10 Van Winkle Way  East Lyme Connecticut 06357
75,Closed,1/19/2021,474283.0,NA,Under Construction,170296573,Lauren Logiacco,13659,Thomas Jacovino,17 Brentwood Circle 88 Danbury Connecticut 06810
76,Closed,1/19/2021,382000.0,NA,To Be Built,170301409,Eileen D Lovley,LOVLEYE,Century 21 AllPoints Realty,395 Pondview Drive  Southington Connecticut 06489
77,Closed,1/18/2021,512115.0,NA,To Be Built,170301562,Sandra Fehrs,FEHRSSAN,Calcagni Real Estate,"57 Hillcrest Village, Lot 57   Southington Connecticut 06489"
78,Closed,1/15/2021,508943.0,NA,To Be Built,170236498,Nancy Lydell,LYDELLNA,Calcagni Real Estate,125 Victoria Drive  Cheshire Connecticut 06410
79,Closed,1/15/2021,429900.0,NA,To Be Built,170239229,Anna Zastem Macchio,ZASTEMPA,Agnelli Real Estate,22 B Salmon Run  East Hampton Connecticut 06424
80,Closed,1/14/2021,499837.0,NA,To Be Built,170225350,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,123 Ridgewood Drive 264 Middlebury Connecticut 06762
81,Closed,1/14/2021,750000.0,NA,Under Construction,170276574,Paul Jacques,JACQUESP,Jacques Realty,Lot 36 Kongscut Valley Trail  Glastonbury Connecticut 06033
82,Closed,1/14/2021,507078.0,NA,Under Construction,170296549,Lauren Logiacco,13659,Thomas Jacovino,19 Brentwood Circle 87 Danbury Connecticut 06810
83,Closed,1/14/2021,528900.0,NA,To Be Built,170318350,Eileen D Lovley,LOVLEYE,Century 21 AllPoints Realty,248 North Ridge Court  Southington Connecticut 06489
84,Closed,1/14/2021,544387.0,NA,Under Construction,170366025,Andrea Bannerman,20635,Thomas Jacovino,147 Brentwood Circle 23 Danbury Connecticut 06810
85,Closed,1/13/2021,549900.0,NA,To Be Built,170250330,Eileen D Lovley,LOVLEYE,Century 21 AllPoints Realty,160 North Ridge Court  Southington Connecticut 06489
86,Closed,1/13/2021,3900.0,NA,Completed/Never Occupied,170340485,Jennifer Collins,22881,"Compass Connecticut, LLC",1675 Post Road 202 Fairfield Connecticut 06824
87,Closed,1/12/2021,349900.0,NA,Completed/Never Occupied,170316357,Art Kostapapas,KOSTAPAA,"Weichert,REALTORS-Four Corners",87 Lake Woods Lane  Eastford Connecticut 06242
88,Closed,1/11/2021,364738.0,NA,To Be Built,170263383,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,125 Ridgewood Drive 263 Middlebury Connecticut 06762
89,Closed,1/11/2021,361250.0,NA,To Be Built,170313405,Eileen D Lovley,LOVLEYE,Century 21 AllPoints Realty,785 South End Road  6 Southington Connecticut 06489
90,Closed,1/8/2021,351359.0,NA,To Be Built,170221673,Kathy Childs,PALAGONK,Thomas Jacovino,37 Tamarack Court 303 Prospect Connecticut 06712
91,Closed,1/8/2021,683709.0,NA,To Be Built,170227041,Andrea Bannerman,20635,Thomas Jacovino,90 Winding Ridge Way 92 Danbury Connecticut 06810
92,Closed,1/8/2021,549900.0,NA,To Be Built,170310019,Sarah Kolman,KOLMANSA,"The Heritage Group, LLC",11 Ridgewood Club Estates   Prospect Connecticut 06712
93,Closed,1/7/2021,681150.0,NA,Under Construction,170266675,Paul Jacques,JACQUESP,Jacques Realty,Lot 5 110 Kongscut Valley Trail  Glastonbury Connecticut 06033
94,Closed,1/7/2021,250000.0,NA,To Be Built,170302943,Christine Johnson,EJOHNSONC2,RE/MAX Home Team,27 SPRING LAKE Road  Sterling Connecticut 06377
95,Closed,1/7/2021,505100.0,NA,To Be Built,170307145,Matthew Denorfia,DENORFIM,"Denorfia Realty, LLC",137 Willow Creek Lane   Southington Connecticut 06489
96,Closed,1/6/2021,523991.0,NA,To Be Built,170259112,Wendy L. O'Donnell,ODONNELW,EG Group Realty,16 Park Avenue  Stonington Connecticut 06355
97,Closed,1/6/2021,705475.0,NA,Under Construction,170338862,Gary Emerito,EMERITG,Berkshire Hathaway NE Prop.,3 Prospect Ridge   Simsbury Connecticut 06070
98,Closed,1/4/2021,429039.0,NA,Under Construction,170263374,Meredith Colasanto,COLASANM,Thomas Jacovino,127 RIDGEWOOD Road 262 Middlebury Connecticut 06762
99,Closed,1/4/2021,1850.0,NA,Completed/Never Occupied,170361342,Julie Blakeman,840995,Carey & Guarrera Real Estate,309 Bridgeport Avenue  401 Shelton Connecticut 06484
100,Closed,1/4/2021,1850.0,NA,Completed/Never Occupied,170361531,Julie Blakeman,840995,Carey & Guarrera Real Estate,309 Bridgeport Avenue 307 Shelton Connecticut 06484
101,Closed,1/4/2021,1700.0,NA,Completed/Never Occupied,170361550,Julie Blakeman,840995,Carey & Guarrera Real Estate,309 Bridgeport Avenue 305 Shelton Connecticut 06484
102,Closed,1/3/2021,1650.0,NA,Under Construction,170339535,Constance Strait,B5443,William Raveis Real Estate,10 Wooster Street 4 Bethel Connecticut 06801
103,Closed,1/3/2021,1650.0,NA,Model,170343219,Constance Strait,B5443,William Raveis Real Estate,10 Wooster Street 2 Bethel Connecticut 06801
104,Closed,1/1/2021,4000.0,NA,Under Construction,170340575,Jennifer Collins,22881,"Compass Connecticut, LLC",1675 Post Road 402 Fairfield Connecticut 06824
105,Closed,1/1/2021,1599000.0,NA,Completed/Never Occupied,170349191,Christine D Saxe,8046,"Compass Connecticut, LLC",301 Gramercy Park 301 New Canaan Connecticut 06840
106,Closed,12/30/2020,509336.0,NA,To Be Built,170220560,Andrea Bannerman,20635,Thomas Jacovino,26 West Cross Trail 133 Danbury Connecticut 06810
107,Closed,12/30/2020,403605.0,NA,To Be Built,170274071,Patricia Wheway,WHEWAYP,Coldwell Banker Realty,33 Meacham Drive 33 Enfield Connecticut 06082
108,Closed,12/30/2020,538508.0,NA,To Be Built,170274659,Wendy L. O'Donnell,ODONNELW,EG Group Realty,14 Park Avenue  Stonington Connecticut 06355
109,Closed,12/30/2020,474307.0,NA,Under Construction,170281605,Andrea Bannerman,20635,Thomas Jacovino,24 West Cross Trail 132 Danbury Connecticut 06810
110,Closed,12/30/2020,434317.0,NA,To Be Built,170314119,Sandra Fehrs,FEHRSSAN,Calcagni Real Estate,"10 Linden Ct, Lot 41   Southington Connecticut 06489"
111,Closed,12/30/2020,849000.0,NA,Completed/Never Occupied,170352612,Stacey K Didio,5515,Coldwell Banker Realty,29a Beaumont Street  Fairfield Connecticut 06824
112,Closed,12/29/2020,360000.0,NA,To Be Built,170189403,Kathy Childs,PALAGONK,Thomas Jacovino,4 Tamarack Court 224 Prospect Connecticut 06712
113,Closed,12/29/2020,202000.0,NA,Completed/Never Occupied,170314773,Doris Castro,CASTROD,Berkshire Hathaway NE Prop.,52 Elm Meadows Lane  Enfield Connecticut 06801
114,Closed,12/28/2020,460451.0,NA,Under Construction,170296517,Lauren Logiacco,13659,Thomas Jacovino,20 West Cross Trail 130 Danbury Connecticut 06810
115,Closed,12/24/2020,690000.0,NA,Completed/Never Occupied,170293917,Lawrence Davidoff,L458,Davidoff Realty Co.,604 Newfield Ave House D   Stamford Connecticut 06905
116,Closed,12/24/2020,1255000.0,NA,Completed/Never Occupied,170295151,Kim Harizman,18778,"Compass Connecticut, LLC",4 Daybreak Commons  Westport Connecticut 06880
117,Closed,12/23/2020,880958.0,NA,To Be Built,170268083,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,185 Penwood ( Homesite 42) Crossing  Glastonbury Connecticut 06033
118,Closed,12/23/2020,555000.0,NA,Completed/Never Occupied,170352532,Darielis G Letskus,LETSKUSD,Platinum Associates,7 Caeser Street Extension  Norwalk Connecticut 06851
119,Closed,12/22/2020,1550000.0,NA,To Be Built,170223660,Carole Cousins,K1077,Coldwell Banker Realty,99 Barry Avenue Lot 2 Ridgefield Connecticut 06877
120,Closed,12/22/2020,286500.0,NA,Under Construction,170247266,Doug Blackwood,BLACKWOD,Calcagni Real Estate,21 Beecher Walk 27 Orange Connecticut 06477
121,Closed,12/22/2020,360000.0,NA,Under Construction,170286524,Sue Kopec-jutcawitz,10636,Coldwell Banker Realty,24 Rowland Farm Road  Oxford Connecticut 06478
122,Closed,12/22/2020,1375000.0,NA,Under Construction,170304646,Carole Cousins,k1077,Coldwell Banker Realty,152 Wilton Road  Ridgefield Connecticut 06877
123,Closed,12/22/2020,1199000.0,NA,To Be Built,170344892,Silvana Orsaia,L316,Kinard Realty Group,8 ravenglass Drive 5 Stamford Connecticut 06903
124,Closed,12/21/2020,591882.0,NA,To Be Built,170227039,Andrea Bannerman,20635,Thomas Jacovino,92 Winding Ridge Way 91 Danbury Connecticut 06810
125,Closed,12/21/2020,629484.0,NA,To Be Built,170250052,Suzanne B DeMarco,21546,Thomas Jacovino,7 South Crossing Way 36 Bethel Connecticut 06801
126,Closed,12/21/2020,422596.0,NA,To Be Built,170256845,Gary Emerito,EMERITG,Berkshire Hathaway NE Prop.,42 Carson Way   Simsbury Connecticut 06070
127,Closed,12/21/2020,461221.0,NA,To Be Built,170281612,Andrea Bannerman,20635,Thomas Jacovino,22 West Cross Trail 131 Danbury Connecticut 06810
128,Closed,12/21/2020,384993.0,NA,To Be Built,170301897,Eileen D Lovley,LOVLEYE,Century 21 AllPoints Realty,785 South End Road  7 Southington Connecticut 06489
129,Closed,12/21/2020,400000.0,NA,To Be Built,170302779,Louis Roy Evjen,EVJENR,Evjen Agency,570 Camp Street  Plainville Connecticut 06062
130,Closed,12/21/2020,562400.0,NA,To Be Built,170310024,Sarah Kolman,KOLMANSA,"The Heritage Group, LLC",23 Ridgewood Club Estates   Prospect Connecticut 06712
131,Closed,12/18/2020,508460.0,NA,To Be Built,170242767,Dori Degennaro,DEGENNDO,William Raveis Real Estate,Parcel A Peddlers Road  Guilford Connecticut 06437
132,Closed,12/18/2020,511848.0,NA,To Be Built,170256817,Wendy L. O'Donnell,ODONNELW,EG Group Realty,15 Park Avenue  Stonington Connecticut 06355
133,Closed,12/18/2020,486751.64,NA,To Be Built,170274651,Wendy L. O'Donnell,ODONNELW,EG Group Realty,13 Park Avenue  Stonington Connecticut 06355
134,Closed,12/18/2020,383050.0,NA,To Be Built,170306064,Maryam A Taylor,TAYLORMA,Calcagni Real Estate,510 Ridgewood Road  Middletown Connecticut 06457
135,Closed,12/18/2020,385000.0,NA,Under Construction,170344206,Christine Johnson,EJOHNSONC2,RE/MAX Home Team,425 Moosup Pond Road  Plainfield Connecticut 06354
136,Closed,12/17/2020,346260.0,NA,To Be Built,170258685,Ryan Peterson,PETERSOR,Century 21 AllPoints Realty,18 West River Road  East Windsor Connecticut 06088
137,Closed,12/17/2020,1138102.0,NA,Under Construction,170267117,Tim M Dent,JDENT,Coldwell Banker Realty,29 Black Pine Ridge   Ridgefield Connecticut 06877
138,Closed,12/17/2020,1700.0,NA,Under Construction,170356285,Julie Blakeman,840995,Carey & Guarrera Real Estate,309 Bridgeport Avenue  204 Shelton Connecticut 06484
139,Closed,12/16/2020,365000.0,NA,Torn Down & Rebuilt,170350067,Deborah S Bowles,BOWLESD,William Raveis Real Estate,411 Brainard Hill   Haddam Connecticut 06441
140,Closed,12/15/2020,333850.0,NA,To Be Built,170248227,James Celio,CELIOJA,Century 21 AllPoints Realty,10 Gilbert Lane 29 Hebron Connecticut 06248
141,Closed,12/15/2020,365000.0,NA,To Be Built,170274109,Patricia Wheway,WHEWAYP,Coldwell Banker Realty,49 Copley Cir Drive 49 Enfield Connecticut 06082
142,Closed,12/15/2020,442290.0,NA,Under Construction,170277349,Anita Pavone,A2014,Real Estate Two,Lot#11 Cold Spring Drive  Oxford Connecticut 06478
143,Closed,12/15/2020,4400.0,NA,Completed/Never Occupied,170340683,Jennifer Collins,22881,"Compass Connecticut, LLC",1675 Post Road 101 Fairfield Connecticut 06824
144,Closed,12/14/2020,476141.0,NA,To Be Built,170218478,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,9 Fairview Drive 207 Middlebury Connecticut 06762
145,Closed,12/14/2020,299900.0,NA,Under Construction,170285118,Rick P Jowdy,RJOWD,RJ Real Estate,42 chestnut Street 9 Bethel Connecticut 06801
146,Closed,12/14/2020,1625000.0,NA,Completed/Never Occupied,170312244,Stephen Guarrera,7830,Carey & Guarrera Real Estate,144-150 Wells View Drive  Shelton Connecticut 06484
147,Closed,12/14/2020,489750.0,NA,Under Construction,170342796,Mary Anne Lagana,7109,William Raveis Real Estate,67 Sterling Street  Fairfield Connecticut 06825
148,Closed,12/11/2020,295410.0,NA,To Be Built,170270555,Joseph Duva,DUVAJ,T & M Real Estate of CT Inc,41 Kennison Court 75 South Windsor Connecticut 06074
149,Closed,12/11/2020,597381.0,NA,Under Construction,170294766,Gary Emerito,EMERITG,Berkshire Hathaway NE Prop.,8 Prospect Ridge   Simsbury Connecticut 06070
150,Closed,12/11/2020,362500.0,NA,Under Construction,170316358,Art Kostapapas,KOSTAPAA,"Weichert,REALTORS-Four Corners",103 Lake Woods Lane  Eastford Connecticut 06242
151,Closed,12/11/2020,915900.0,NA,Under Construction,170347634,Toni Tice,TTice,William Raveis Real Estate,Lot 4 Bear Den Estates   Trumbull Connecticut 06611
152,Closed,12/9/2020,541559.0,NA,To Be Built,170179438,Sherry Borgeson,BORGESOS,Berkshire Hathaway NE Prop.,Lot 107 Broad Meadow Road   Colchester Connecticut 06415
153,Closed,12/8/2020,289900.0,NA,Under Construction,170272022,Dawn Cabral,cabralda,"West View Properties, LLC",3 Bradley Way  Thomaston Connecticut 06787
154,Closed,12/8/2020,805894.0,NA,Under Construction,170272721,Therese M Nuzzolo,NUZZOLOT,Berkshire Hathaway NE Prop.,32 Derby Way lot 9 Glastonbury Connecticut 06033
155,Closed,12/8/2020,543813.0,NA,Under Construction,170310539,Robin Paquin,14438,EG Group Realty,11 Twin Oaks Trail 128 Beacon Falls Connecticut 06403
156,Closed,12/7/2020,416686.0,NA,To Be Built,170253030,Meredith Colasanto,COLASANM,Thomas Jacovino,132 RIDGEWOOD Drive 181 Middlebury Connecticut 06762
157,Closed,12/7/2020,299900.0,NA,Under Construction,170285103,Rick P Jowdy,RJOWD,RJ Real Estate,42 chestnut Street 8 Bethel Connecticut 06801
158,Closed,12/5/2020,1194.0,NA,Completed/Never Occupied,170354913,Jarah Tuttle,3033,NewBridge Properties,719 Post Road 116 Darien Connecticut 06820
159,Closed,12/4/2020,300600.0,NA,To Be Built,170084779,Janet McKenzie,EMCKENZIJ,William Raveis Real Estate,39 Village Crossing 39 East Lyme Connecticut 06357
160,Closed,12/4/2020,606350.0,NA,To Be Built,170207098,Suzanne B DeMarco,21546,Thomas Jacovino,35 Crossing Way 50 Bethel Connecticut 06801
161,Closed,12/4/2020,468995.0,NA,Under Construction,170237743,Andrea Bannerman,20635,Thomas Jacovino,25 West Cross Trail 108 Danbury Connecticut 06810
162,Closed,12/4/2020,446977.0,NA,Under Construction,170253028,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,128 RIDGEWOOD Drive 29 Middlebury Connecticut 06762
