Status,Close Date,Close Price,Property_ID,New Construction Type,MLS Number,List Agent Full Name,List Agent MLSID,List Office Name,comp_addr
Closed,2/1/2021,1400,,Under Construction,170358749,Teresa Truiolo,TRUIOLOT,"Excel Realty, LLC",301 Main Street 2 Bristol Connecticut 06010
Closed,1/29/2021,584000,,To Be Built,170252286,Thomas P Coccomo,COCCOMOT,Century 21 AllPoints Realty,2 Sachem Court   Farmington Connecticut 06032
Closed,1/29/2021,429900,,Under Construction,170280130,Stacy Bucci,BUCCIST,Calcagni Real Estate,103 Bleeker Circle  North Haven Connecticut 06473
Closed,1/29/2021,670761,,Under Construction,170313295,Andrea Bannerman,20635,Thomas Jacovino,96 Winding Ridge Way 89 Danbury Connecticut 06810
Closed,1/29/2021,329900,,Under Construction,170342766,Bill Heenan,EHEENANB,William Raveis Real Estate,12 Heath Spur   Ledyard Connecticut 06333
Closed,1/28/2021,514412,,Under Construction,170227035,Andrea Bannerman,20635,Thomas Jacovino,94 Winding Ridge Way 90 Danbury Connecticut 06810
Closed,1/28/2021,406000,,To Be Built,170274059,Patricia Wheway,WHEWAYP,Coldwell Banker Realty,34 Meacham Drive 34 Enfield Connecticut 06082
Closed,1/28/2021,343640,,To Be Built,170284122,Maryam A Taylor,taylorma,Calcagni Real Estate,609 Mile Lane  Middletown Connecticut 06457
Closed,1/28/2021,50000,,Model,170352011,Johvanny Lopez-Rosado,18623,Apisa RE,10 Ordinance  4 Bridgeport Connecticut 06607
Closed,1/27/2021,660000,,Completed/Never Occupied,170281670,Lawrence Davidoff,L458,Davidoff Realty Co.,604 Newfield Ave House B   Stamford Connecticut 06905
Closed,1/27/2021,561380,,Under Construction,170309246,Justin Decrosta,DECROSTAJ,YellowBrick Real Estate LLC,70 Kinloch Terrace  Milford Connecticut 06460
Closed,1/27/2021,1300000,,Under Construction,170328326,Kim Harizman,18778,"Compass Connecticut, LLC",7 Daybreak Commons  Westport Connecticut 06880
Closed,1/27/2021,849000,,Completed/Never Occupied,170354008,Stacey K Didio,5515,Coldwell Banker Realty,31 Beaumont Street  Fairfield Connecticut 06824
Closed,1/26/2021,235000,,To Be Built,170084771,Janet McKenzie,EMCKENZIJ,William Raveis Real Estate,38 Village Crossing 38 East Lyme Connecticut 06357
Closed,1/26/2021,561350,,Completed/Never Occupied,170273037,Joseph Duva,DUVAJ,T & M Real Estate of CT Inc,35 Glen Place (GPS 102 Orchard St)  17 Glastonbury Connecticut 06033
Closed,1/26/2021,499701,,Under Construction,170289273,Andrea Bannerman,20635,Thomas Jacovino,21 Brentwood Circle 86 Danbury Connecticut 06810
Closed,1/26/2021,665000,,Completed/Never Occupied,170358480,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,126 Long Meadow Drive  South Windsor Connecticut 06074
Closed,1/25/2021,468634,,Under Construction,170293318,Ryan Peterson,PETERSOR,Century 21 AllPoints Realty,241 Scenic Drive  Berlin Connecticut 06037
Closed,1/22/2021,367670,,To Be Built,170089503,Cary A Marcoux,EMARCOUXC,RE/MAX Bell Park Realty,17 Henry Drive  Plainfield Connecticut 06354
Closed,1/22/2021,442196,,To Be Built,170296674,Amy Romano,ROMANOA,Preston Gray Real Estate,Lot#2 Beardsley Street  Shelton Connecticut 06484
Closed,1/22/2021,264000,,To Be Built,170298653,Christine Johnson,EJOHNSONC2,RE/MAX Home Team,17 Logans Way   Sterling Connecticut 06377
Closed,1/22/2021,229900,,Completed/Never Occupied,170318802,Yasmina Delacruz-Bailey,21391,Century 21 Scala Group,820 Seaview Avenue 2 Bridgeport Connecticut 06607
Closed,1/21/2021,499000,,Model,170343178,Patricia Pastor,EPASTORP,William Raveis Real Estate,10 Van Winkle Way  East Lyme Connecticut 06357
Closed,1/19/2021,474283,,Under Construction,170296573,Lauren Logiacco,13659,Thomas Jacovino,17 Brentwood Circle 88 Danbury Connecticut 06810
Closed,1/19/2021,382000,,To Be Built,170301409,Eileen D Lovley,LOVLEYE,Century 21 AllPoints Realty,395 Pondview Drive  Southington Connecticut 06489
Closed,1/18/2021,512115,,To Be Built,170301562,Sandra Fehrs,FEHRSSAN,Calcagni Real Estate,"57 Hillcrest Village, Lot 57   Southington Connecticut 06489"
Closed,1/15/2021,508943,,To Be Built,170236498,Nancy Lydell,LYDELLNA,Calcagni Real Estate,125 Victoria Drive  Cheshire Connecticut 06410
Closed,1/15/2021,429900,,To Be Built,170239229,Anna Zastem Macchio,ZASTEMPA,Agnelli Real Estate,22 B Salmon Run  East Hampton Connecticut 06424
Closed,1/14/2021,499837,,To Be Built,170225350,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,123 Ridgewood Drive 264 Middlebury Connecticut 06762
Closed,1/14/2021,750000,,Under Construction,170276574,Paul Jacques,JACQUESP,Jacques Realty,Lot 36 Kongscut Valley Trail  Glastonbury Connecticut 06033
Closed,1/14/2021,507078,,Under Construction,170296549,Lauren Logiacco,13659,Thomas Jacovino,19 Brentwood Circle 87 Danbury Connecticut 06810
Closed,1/14/2021,528900,,To Be Built,170318350,Eileen D Lovley,LOVLEYE,Century 21 AllPoints Realty,248 North Ridge Court  Southington Connecticut 06489
Closed,1/14/2021,544387,,Under Construction,170366025,Andrea Bannerman,20635,Thomas Jacovino,147 Brentwood Circle 23 Danbury Connecticut 06810
Closed,1/13/2021,549900,,To Be Built,170250330,Eileen D Lovley,LOVLEYE,Century 21 AllPoints Realty,160 North Ridge Court  Southington Connecticut 06489
Closed,1/13/2021,3900,,Completed/Never Occupied,170340485,Jennifer Collins,22881,"Compass Connecticut, LLC",1675 Post Road 202 Fairfield Connecticut 06824
Closed,1/12/2021,349900,,Completed/Never Occupied,170316357,Art Kostapapas,KOSTAPAA,"Weichert,REALTORS-Four Corners",87 Lake Woods Lane  Eastford Connecticut 06242
Closed,1/11/2021,364738,,To Be Built,170263383,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,125 Ridgewood Drive 263 Middlebury Connecticut 06762
Closed,1/11/2021,361250,,To Be Built,170313405,Eileen D Lovley,LOVLEYE,Century 21 AllPoints Realty,785 South End Road  6 Southington Connecticut 06489
Closed,1/8/2021,351359,,To Be Built,170221673,Kathy Childs,PALAGONK,Thomas Jacovino,37 Tamarack Court 303 Prospect Connecticut 06712
Closed,1/8/2021,683709,,To Be Built,170227041,Andrea Bannerman,20635,Thomas Jacovino,90 Winding Ridge Way 92 Danbury Connecticut 06810
Closed,1/8/2021,549900,,To Be Built,170310019,Sarah Kolman,KOLMANSA,"The Heritage Group, LLC",11 Ridgewood Club Estates   Prospect Connecticut 06712
Closed,1/7/2021,681150,,Under Construction,170266675,Paul Jacques,JACQUESP,Jacques Realty,Lot 5 110 Kongscut Valley Trail  Glastonbury Connecticut 06033
Closed,1/7/2021,250000,,To Be Built,170302943,Christine Johnson,EJOHNSONC2,RE/MAX Home Team,27 SPRING LAKE Road  Sterling Connecticut 06377
Closed,1/7/2021,505100,,To Be Built,170307145,Matthew Denorfia,DENORFIM,"Denorfia Realty, LLC",137 Willow Creek Lane   Southington Connecticut 06489
Closed,1/6/2021,523991,,To Be Built,170259112,Wendy L. O'Donnell,ODONNELW,EG Group Realty,16 Park Avenue  Stonington Connecticut 06355
Closed,1/6/2021,705475,,Under Construction,170338862,Gary Emerito,EMERITG,Berkshire Hathaway NE Prop.,3 Prospect Ridge   Simsbury Connecticut 06070
Closed,1/4/2021,429039,,Under Construction,170263374,Meredith Colasanto,COLASANM,Thomas Jacovino,127 RIDGEWOOD Road 262 Middlebury Connecticut 06762
Closed,1/4/2021,1850,,Completed/Never Occupied,170361342,Julie Blakeman,840995,Carey & Guarrera Real Estate,309 Bridgeport Avenue  401 Shelton Connecticut 06484
Closed,1/4/2021,1850,,Completed/Never Occupied,170361531,Julie Blakeman,840995,Carey & Guarrera Real Estate,309 Bridgeport Avenue 307 Shelton Connecticut 06484
Closed,1/4/2021,1700,,Completed/Never Occupied,170361550,Julie Blakeman,840995,Carey & Guarrera Real Estate,309 Bridgeport Avenue 305 Shelton Connecticut 06484
Closed,1/3/2021,1650,,Under Construction,170339535,Constance Strait,B5443,William Raveis Real Estate,10 Wooster Street 4 Bethel Connecticut 06801
Closed,1/3/2021,1650,,Model,170343219,Constance Strait,B5443,William Raveis Real Estate,10 Wooster Street 2 Bethel Connecticut 06801
Closed,1/1/2021,4000,,Under Construction,170340575,Jennifer Collins,22881,"Compass Connecticut, LLC",1675 Post Road 402 Fairfield Connecticut 06824
Closed,1/1/2021,1599000,,Completed/Never Occupied,170349191,Christine D Saxe,8046,"Compass Connecticut, LLC",301 Gramercy Park 301 New Canaan Connecticut 06840
Closed,12/30/2020,509336,,To Be Built,170220560,Andrea Bannerman,20635,Thomas Jacovino,26 West Cross Trail 133 Danbury Connecticut 06810
Closed,12/30/2020,403605,,To Be Built,170274071,Patricia Wheway,WHEWAYP,Coldwell Banker Realty,33 Meacham Drive 33 Enfield Connecticut 06082
Closed,12/30/2020,538508,,To Be Built,170274659,Wendy L. O'Donnell,ODONNELW,EG Group Realty,14 Park Avenue  Stonington Connecticut 06355
Closed,12/30/2020,474307,,Under Construction,170281605,Andrea Bannerman,20635,Thomas Jacovino,24 West Cross Trail 132 Danbury Connecticut 06810
Closed,12/30/2020,434317,,To Be Built,170314119,Sandra Fehrs,FEHRSSAN,Calcagni Real Estate,"10 Linden Ct, Lot 41   Southington Connecticut 06489"
Closed,12/30/2020,849000,,Completed/Never Occupied,170352612,Stacey K Didio,5515,Coldwell Banker Realty,29a Beaumont Street  Fairfield Connecticut 06824
Closed,12/29/2020,360000,,To Be Built,170189403,Kathy Childs,PALAGONK,Thomas Jacovino,4 Tamarack Court 224 Prospect Connecticut 06712
Closed,12/29/2020,202000,,Completed/Never Occupied,170314773,Doris Castro,CASTROD,Berkshire Hathaway NE Prop.,52 Elm Meadows Lane  Enfield Connecticut 06801
Closed,12/28/2020,460451,,Under Construction,170296517,Lauren Logiacco,13659,Thomas Jacovino,20 West Cross Trail 130 Danbury Connecticut 06810
Closed,12/24/2020,690000,,Completed/Never Occupied,170293917,Lawrence Davidoff,L458,Davidoff Realty Co.,604 Newfield Ave House D   Stamford Connecticut 06905
Closed,12/24/2020,1255000,,Completed/Never Occupied,170295151,Kim Harizman,18778,"Compass Connecticut, LLC",4 Daybreak Commons  Westport Connecticut 06880
Closed,12/23/2020,880958,,To Be Built,170268083,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,185 Penwood ( Homesite 42) Crossing  Glastonbury Connecticut 06033
Closed,12/23/2020,555000,,Completed/Never Occupied,170352532,Darielis G Letskus,LETSKUSD,Platinum Associates,7 Caeser Street Extension  Norwalk Connecticut 06851
Closed,12/22/2020,1550000,,To Be Built,170223660,Carole Cousins,K1077,Coldwell Banker Realty,99 Barry Avenue Lot 2 Ridgefield Connecticut 06877
Closed,12/22/2020,286500,,Under Construction,170247266,Doug Blackwood,BLACKWOD,Calcagni Real Estate,21 Beecher Walk 27 Orange Connecticut 06477
Closed,12/22/2020,360000,,Under Construction,170286524,Sue Kopec-jutcawitz,10636,Coldwell Banker Realty,24 Rowland Farm Road  Oxford Connecticut 06478
Closed,12/22/2020,1375000,,Under Construction,170304646,Carole Cousins,k1077,Coldwell Banker Realty,152 Wilton Road  Ridgefield Connecticut 06877
Closed,12/22/2020,1199000,,To Be Built,170344892,Silvana Orsaia,L316,Kinard Realty Group,8 ravenglass Drive 5 Stamford Connecticut 06903
Closed,12/21/2020,591882,,To Be Built,170227039,Andrea Bannerman,20635,Thomas Jacovino,92 Winding Ridge Way 91 Danbury Connecticut 06810
Closed,12/21/2020,629484,,To Be Built,170250052,Suzanne B DeMarco,21546,Thomas Jacovino,7 South Crossing Way 36 Bethel Connecticut 06801
Closed,12/21/2020,422596,,To Be Built,170256845,Gary Emerito,EMERITG,Berkshire Hathaway NE Prop.,42 Carson Way   Simsbury Connecticut 06070
Closed,12/21/2020,461221,,To Be Built,170281612,Andrea Bannerman,20635,Thomas Jacovino,22 West Cross Trail 131 Danbury Connecticut 06810
Closed,12/21/2020,384993,,To Be Built,170301897,Eileen D Lovley,LOVLEYE,Century 21 AllPoints Realty,785 South End Road  7 Southington Connecticut 06489
Closed,12/21/2020,400000,,To Be Built,170302779,Louis Roy Evjen,EVJENR,Evjen Agency,570 Camp Street  Plainville Connecticut 06062
Closed,12/21/2020,562400,,To Be Built,170310024,Sarah Kolman,KOLMANSA,"The Heritage Group, LLC",23 Ridgewood Club Estates   Prospect Connecticut 06712
Closed,12/18/2020,508460,,To Be Built,170242767,Dori Degennaro,DEGENNDO,William Raveis Real Estate,Parcel A Peddlers Road  Guilford Connecticut 06437
Closed,12/18/2020,511848,,To Be Built,170256817,Wendy L. O'Donnell,ODONNELW,EG Group Realty,15 Park Avenue  Stonington Connecticut 06355
Closed,12/18/2020,486751.64,,To Be Built,170274651,Wendy L. O'Donnell,ODONNELW,EG Group Realty,13 Park Avenue  Stonington Connecticut 06355
Closed,12/18/2020,383050,,To Be Built,170306064,Maryam A Taylor,TAYLORMA,Calcagni Real Estate,510 Ridgewood Road  Middletown Connecticut 06457
Closed,12/18/2020,385000,,Under Construction,170344206,Christine Johnson,EJOHNSONC2,RE/MAX Home Team,425 Moosup Pond Road  Plainfield Connecticut 06354
Closed,12/17/2020,346260,,To Be Built,170258685,Ryan Peterson,PETERSOR,Century 21 AllPoints Realty,18 West River Road  East Windsor Connecticut 06088
Closed,12/17/2020,1138102,,Under Construction,170267117,Tim M Dent,JDENT,Coldwell Banker Realty,29 Black Pine Ridge   Ridgefield Connecticut 06877
Closed,12/17/2020,1700,,Under Construction,170356285,Julie Blakeman,840995,Carey & Guarrera Real Estate,309 Bridgeport Avenue  204 Shelton Connecticut 06484
Closed,12/16/2020,365000,,Torn Down & Rebuilt,170350067,Deborah S Bowles,BOWLESD,William Raveis Real Estate,411 Brainard Hill   Haddam Connecticut 06441
Closed,12/15/2020,333850,,To Be Built,170248227,James Celio,CELIOJA,Century 21 AllPoints Realty,10 Gilbert Lane 29 Hebron Connecticut 06248
Closed,12/15/2020,365000,,To Be Built,170274109,Patricia Wheway,WHEWAYP,Coldwell Banker Realty,49 Copley Cir Drive 49 Enfield Connecticut 06082
Closed,12/15/2020,442290,,Under Construction,170277349,Anita Pavone,A2014,Real Estate Two,Lot#11 Cold Spring Drive  Oxford Connecticut 06478
Closed,12/15/2020,4400,,Completed/Never Occupied,170340683,Jennifer Collins,22881,"Compass Connecticut, LLC",1675 Post Road 101 Fairfield Connecticut 06824
Closed,12/14/2020,476141,,To Be Built,170218478,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,9 Fairview Drive 207 Middlebury Connecticut 06762
Closed,12/14/2020,299900,,Under Construction,170285118,Rick P Jowdy,RJOWD,RJ Real Estate,42 chestnut Street 9 Bethel Connecticut 06801
Closed,12/14/2020,1625000,,Completed/Never Occupied,170312244,Stephen Guarrera,7830,Carey & Guarrera Real Estate,144-150 Wells View Drive  Shelton Connecticut 06484
Closed,12/14/2020,489750,,Under Construction,170342796,Mary Anne Lagana,7109,William Raveis Real Estate,67 Sterling Street  Fairfield Connecticut 06825
Closed,12/11/2020,295410,,To Be Built,170270555,Joseph Duva,DUVAJ,T & M Real Estate of CT Inc,41 Kennison Court 75 South Windsor Connecticut 06074
Closed,12/11/2020,597381,,Under Construction,170294766,Gary Emerito,EMERITG,Berkshire Hathaway NE Prop.,8 Prospect Ridge   Simsbury Connecticut 06070
Closed,12/11/2020,362500,,Under Construction,170316358,Art Kostapapas,KOSTAPAA,"Weichert,REALTORS-Four Corners",103 Lake Woods Lane  Eastford Connecticut 06242
Closed,12/11/2020,915900,,Under Construction,170347634,Toni Tice,TTice,William Raveis Real Estate,Lot 4 Bear Den Estates   Trumbull Connecticut 06611
Closed,12/9/2020,541559,,To Be Built,170179438,Sherry Borgeson,BORGESOS,Berkshire Hathaway NE Prop.,Lot 107 Broad Meadow Road   Colchester Connecticut 06415
Closed,12/8/2020,289900,,Under Construction,170272022,Dawn Cabral,cabralda,"West View Properties, LLC",3 Bradley Way  Thomaston Connecticut 06787
Closed,12/8/2020,805894,,Under Construction,170272721,Therese M Nuzzolo,NUZZOLOT,Berkshire Hathaway NE Prop.,32 Derby Way lot 9 Glastonbury Connecticut 06033
Closed,12/8/2020,543813,,Under Construction,170310539,Robin Paquin,14438,EG Group Realty,11 Twin Oaks Trail 128 Beacon Falls Connecticut 06403
Closed,12/7/2020,416686,,To Be Built,170253030,Meredith Colasanto,COLASANM,Thomas Jacovino,132 RIDGEWOOD Drive 181 Middlebury Connecticut 06762
Closed,12/7/2020,299900,,Under Construction,170285103,Rick P Jowdy,RJOWD,RJ Real Estate,42 chestnut Street 8 Bethel Connecticut 06801
Closed,12/5/2020,1194,,Completed/Never Occupied,170354913,Jarah Tuttle,3033,NewBridge Properties,719 Post Road 116 Darien Connecticut 06820
Closed,12/4/2020,300600,,To Be Built,170084779,Janet McKenzie,EMCKENZIJ,William Raveis Real Estate,39 Village Crossing 39 East Lyme Connecticut 06357
Closed,12/4/2020,606350,,To Be Built,170207098,Suzanne B DeMarco,21546,Thomas Jacovino,35 Crossing Way 50 Bethel Connecticut 06801
Closed,12/4/2020,468995,,Under Construction,170237743,Andrea Bannerman,20635,Thomas Jacovino,25 West Cross Trail 108 Danbury Connecticut 06810
Closed,12/4/2020,446977,,Under Construction,170253028,Nicole M Defrancesco,DEFRANCN,Thomas Jacovino,128 RIDGEWOOD Drive 29 Middlebury Connecticut 06762
Closed,12/4/2020,387300,,To Be Built,170303763,Nikki Trocchio,trocchion,Calcagni Real Estate,584 Ridgewood Road  Middletown Connecticut 06457
Closed,12/4/2020,416695,,Under Construction,170317739,Laura Spinelli,SPINELLL,"Laurel Crest Realty, LLC",Lot 3 Great Pyrenees Way  Bristol Connecticut 06010
Closed,12/4/2020,598000,,Completed/Never Occupied,170324124,Joyce M Covone,COVONEJM,Berkshire Hathaway NE Prop.,205 Edgewater Circle   East Hampton Connecticut 06424
Closed,12/4/2020,705000,,Model,170335699,Zsuzsanna Szalai,18027,Coldwell Banker Realty,5 Putnam Hill Road 2C Greenwich Connecticut 06830
Closed,12/3/2020,409000,,To Be Built,170274091,Patricia Wheway,WHEWAYP,Coldwell Banker Realty,38 Meacham Drive 38 Enfield Connecticut 06082
Closed,12/2/2020,1194,,Completed/Never Occupied,170356864,Jarah Tuttle,3033,NewBridge Properties,719 Post Road 209 Darien Connecticut 06820
Closed,12/1/2020,731115,,To Be Built,170250413,Pam Gleason,PGLEA01,Gleason Group Real Estate LLC,15 Deer Hill Drive  Newtown Connecticut 06470
Closed,12/1/2020,242225,,Under Construction,170282928,Eileen D Lovley,LOVLEYE,Century 21 AllPoints Realty,41 Eden  3 Southington Connecticut 06489
Closed,12/1/2020,701194,,Under Construction,170295792,Sandie A Terenzi,TERENZI,Keller Williams Realty,Lot 18 Stone House Lane   Burlington Connecticut 06013
Closed,12/1/2020,346125,,To Be Built,170304020,Nikki Trocchio,trocchion,Calcagni Real Estate,480 Ridgewood Road  Middletown Connecticut 06457
Closed,12/1/2020,359000,,Under Construction,170316045,Sue Kopec-Jutcawitz,10636,Coldwell Banker Realty,33 Rowland Farm Road  Oxford Connecticut 06478
Closed,12/1/2020,385815,,Under Construction,170339341,Alfred D Serrao,SERRAOA,Pulte Realty of Connecticut In,1061 Augusta Drive 5721 Oxford Connecticut 06478
